"features"	"1_Henry_IV"	"2_Henry_IV"	"2_Henry_VI"	"3_Henry_VI"	"A_Midsummer_Night's_Dream"	"All's_Well_That_Ends_Well"	"Antony_and_Cleopatra"	"As_You_Like_It"	"Coriolanus"	"Cymbeline"	"Hamlet"	"Henry_V"	"Julius_Caesar"	"King_John"	"King_Lear"	"Love's_Labours_Lost"	"Much_Ado_About_Nothing"	"Othello"	"Richard_II"	"Richard_III"	"Romeo_and_Juliet"	"The_Comedy_of_Errors"	"The_Merchant_of_Venice"	"The_Merry_Wives_of_Windsor"	"The_Taming_of_the_Shrew"	"The_Tempest"	"The_Two_Gentlemen_of_Verona"	"The_Winter's_Tale"	"Troilus_and_Cressida"	"Twelfth_Night"
"m a k e"	0.156458815476384	0.150570662812058	0.197356617427187	0.220639223349934	0.200267022696929	0.201781241302533	0.278913505118697	0.183171150543789	0.211048683797736	0.221843003412969	0.201334877820067	0.112318535366299	0.122414004162076	0.232683014139968	0.200196914998359	0.189373637760389	0.147492625368732	0.203289034528794	0.214700258311248	0.171754235303302	0.178415134989564	0.169938470553765	0.16973445986723	0.187185586709823	0.185506788759078	0.232304556013843	0.231886801381856	0.1892684773351	0.15970266267894	0.232428011879654
"h i n g"	0.14668013950911	0.198753274911916	0.101668560492793	0.0882556893399735	0.252717909593744	0.215697188978569	0.180659883997338	0.221331806907079	0.162564526709067	0.261660978384528	0.248221082243919	0.140398169207874	0.248908475129555	0.0894934669769107	0.23629799803085	0.185800550255476	0.20728693295065	0.221494022695552	0.161025193733436	0.104093475941395	0.178415134989564	0.146498681511866	0.248943874471937	0.155987988924853	0.165772023997474	0.222822737401034	0.189295348066821	0.287057190624901	0.220680042974535	0.206602677226359
"u g h t"	0.149939698164868	0.147559249555817	0.194366365647988	0.163903423059951	0.109670036238795	0.194823267464514	0.161643054102881	0.183171150543789	0.151156489747027	0.184869169510808	0.206850901869932	0.168477803049448	0.118333537356674	0.164667979237516	0.321627830653101	0.114338800157216	0.251136091844056	0.215425693306633	0.150961119125096	0.231607983969605	0.181781458291254	0.146498681511866	0.230084490042245	0.144288889755489	0.232870224186928	0.218081828094629	0.194027731768492	0.293366139869405	0.153895293126978	0.163560452804201
"e n c e"	0.14668013950911	0.177673382118228	0.200346869206387	0.321502868309904	0.219340072477589	0.184386306707487	0.183829355646414	0.1450104941805	0.179676582152126	0.207622298065984	0.173754757570743	0.154437986128661	0.159138205410699	0.186146411311974	0.150968165408599	0.110765712652303	0.155465199712987	0.194186540445415	0.211345566775135	0.275847711244698	0.188514104894634	0.222677995898037	0.162190706095353	0.128690090863004	0.157878118092832	0.175413644336984	0.203492499171833	0.22712217280212	0.133569499695113	0.137735118150906
"s t e r"	0.159718374132143	0.249947300268016	0.272112911907183	0.151295467439955	0.162120923135609	0.125243529084331	0.145795695857501	0.183171150543789	0.102672332658358	0.156427758816837	0.1020464449225	0.120742425518771	0.0979312033296609	0.0680150349024521	0.36101083032491	0.128631150176868	0.167424061229371	0.109229929000546	0.167734576805663	0.171754235303302	0.094257052447317	0.42777615001465	0.177278213639107	0.440666068712709	0.351278812756552	0.393495472431612	0.250816336188538	0.110406611778808	0.104532651935306	0.163560452804201
"r e a t"	0.179275726066691	0.153582076068299	0.182405358531188	0.160751434154952	0.143047873354949	0.29919287503479	0.297930335013153	0.122114100362526	0.182528591392636	0.190557451649602	0.146174637321419	0.216213180580125	0.191781939853919	0.25058170753535	0.190351165080407	0.200092900275128	0.119588615163836	0.15474239941744	0.214700258311248	0.169151898404767	0.131286608765906	0.140638734251392	0.109384429692215	0.105291892524276	0.157878118092832	0.165931825724174	0.104112441436752	0.186114002712848	0.278753738494149	0.197994232341927
"t h e i"	0.13038234623032	0.165627729093263	0.200346869206387	0.23324717896993	0.238413122258249	0.100890620651266	0.209185128839023	0.122114100362526	0.365057182785272	0.184869169510808	0.132384577196757	0.336955606098896	0.24074754151875	0.232683014139968	0.17394158188382	0.189373637760389	0.0916846049589412	0.142605740639602	0.221409641383475	0.213391625679861	0.134652932067596	0.152358628772341	0.0905250452625226	0.124790391139882	0.082886011998737	0.227563646707438	0.132506743646775	0.148260307245828	0.165510032230901	0.068867559075453
"t t e r"	0.205352195312755	0.201764688168157	0.0956880569343939	0.107167622769968	0.0619874117871448	0.194823267464514	0.193337770593642	0.255676397634039	0.188232609873656	0.15358361774744	0.184786805670473	0.115126498750456	0.212184273880932	0.139609808483981	0.29865441417788	0.175081287740737	0.175396635573627	0.191152375750956	0.147606427588983	0.127514508028209	0.171682488386185	0.0820392616466452	0.188593844296922	0.311975977849706	0.134196400378907	0.0948181861280994	0.312337324310255	0.167187154979338	0.174221086558843	0.271166013859596
"a t h e"	0.182535284722449	0.174661968861987	0.137551581843191	0.356174746264893	0.281327484264734	0.166991372112441	0.104592564419511	0.255676397634039	0.094116304936828	0.193401592718999	0.220640961994594	0.131974279055401	0.0734484024972457	0.193305888670127	0.295372497538563	0.139350412691607	0.119588615163836	0.115298258389465	0.110704820691737	0.143128529419419	0.141385578670976	0.0878992089071198	0.211225105612553	0.14818858947861	0.414430059993685	0.218081828094629	0.151436278453457	0.236585596668875	0.0900142280554023	0.120518228382043
"s o m e"	0.123863228918804	0.147559249555817	0.167454099635189	0.129231545104961	0.267022696929239	0.146117450598386	0.123609394313968	0.17935508490746	0.148304480506517	0.193401592718999	0.204092889845	0.126358352287086	0.195862406659322	0.0859137282978343	0.147686248769281	0.221531425304606	0.183369209917882	0.279143151890285	0.191217417558456	0.145730866317954	0.235642631118293	0.228537943158512	0.173506336753168	0.14818858947861	0.169718976949795	0.222822737401034	0.198760115470162	0.233431122046623	0.092917912831383	0.258253346532949
"w e r e"	0.205352195312755	0.132502183274611	0.194366365647988	0.189119334299943	0.0953652489032996	0.215697188978569	0.139456752559348	0.206067544361763	0.228160739240795	0.199089874857793	0.107562468972365	0.112318535366299	0.175460072632309	0.132450331125828	0.11158516573679	0.21438525029478	0.235190943155545	0.127434917167304	0.137542352980643	0.213391625679861	0.138019255369286	0.216818048637562	0.16973445986723	0.163787388371095	0.19340069466372	0.227563646707438	0.194027731768492	0.249203495157881	0.185835825662766	0.180777342573064
"w h e r"	0.166237491443659	0.174661968861987	0.15848334429759	0.185967345394944	0.195498760251764	0.173949345950459	0.18699882729549	0.133562297271513	0.213900693038245	0.218998862343572	0.209608913894865	0.109510571982141	0.191781939853919	0.153928763200286	0.239579914670167	0.139350412691607	0.067766881926174	0.179015716973117	0.194572109094569	0.161344887709163	0.222177337911533	0.257837679460885	0.150875075437538	0.097492493078033	0.19734764761604	0.213340918788224	0.198760115470162	0.13248793413457	0.165510032230901	0.172168897688633
